buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
199000;3044;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;65.38;3
184000;5111;Vilnius, Paupys, Krivūlės g.;36;2
115000;2091;Vilnius, Naujininkai, Naujininkų g.;55;2
159000;2195;Vilnius, Pilaitė, Bitėnų g.;72.44;3
155200;3527;Vilnius, Pilaitė, Tvankstos g.;44;2
185500;4033;Vilnius, Baltupiai, Baltupio g.;46;2
215000;4541;Vilnius, Antakalnis, V. Grybo g.;47.35;2
38000;1719;Kaunas, Panemunė, Vaidoto g.;22.11;2
37000;1576;Kaunas, Panemunė, Vaidoto g.;23.47;1
202000;3961;Vilnius, Viršuliškės, Viršilų g.;51;3
207940;3999;Vilnius, Žvėrynas, Stumbrų g.;52;2
106300;3082;Vilnius, Karoliniškės, Loretos Asanavičiūtės g.;34.49;2
130300;3007;Vilnius, Justiniškės, Taikos g.;43.33;2
124700;1911;Trakų r. sav., Lentvario m., Naujosios Sodybos g.;65.24;3
210900;4102;Vilnius, Žvėrynas, Stumbrų g.;51.42;3
192502;5800;Vilnius, Užupis, Filaretų g.;33.19;2
59000;855;Alytus, Dainava, Vilties g.;69.03;4
69000;1895;Telšių m., Ežero g.;36.41;2
149000;3641;Vilnius, Naujamiestis, Aguonų g.;40.92;2
192500;2070;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;93;4
137500;2191;Kaunas, Žemieji Šančiai, Kranto al.;62.75;3
75000;1961;Kaunas, Aleksotas, K. Dulksnio g.;38.24;2
389000;3687;Kaunas, Vilijampolė, Brastos g.;105.51;4
288000;2382;Vilnius, Pašilaičiai, Laisvės pr.;120.93;4
499999;6250;Kaunas, Senamiestis, Pilies g.;80;3
229000;5205;Vilnius, Šnipiškės, Šatrijos g.;44;2
159900;3476;Vilnius, Lazdynai, M. Mironaitės g.;46;2
355000;6928;Palanga, Palanga, Vanagupės g.;51.24;2
500000;3378;Vilnius, Senamiestis, Palangos g.;148;4
299000;3462;Palanga, Vanagupės g.;86.36;4
490000;3141;Vilnius, Senamiestis, J. Basanavičiaus g.;156;4
70000;963;Jonavos m., Geležinkelio g.;72.67;3
195000;2786;Kaunas, Žaliakalnis, Šimkaičių g.;70;3
139000;2206;Klaipėda, Centras, Kuosų g.;63;2
214423;3057;Vilnius, Žirmūnai, Kareivių g.;70.14;4
520000;6582;Vilnius, Žvėrynas, A. Mickevičiaus g.;79;4
109999;4202;Vilnius, Viršuliškės, Viršilų g.;26.18;1
149991;3093;Vilnius, Fabijoniškės, Fabijoniškių g.;48.5;2
310000;5849;Vilnius, Žvėrynas, Vilkų g.;53;2
335000;3350;Vilnius, Šnipiškės, Konstitucijos pr.;100;4
179000;3972;Vilnius, Šnipiškės, Kalvarijų g.;45.07;2
135500;3196;Klaipėda, Paupiai, Ragainės g.;42.4;2
179000;3580;Vilnius, Žirmūnai, M. Katkaus g.;50;2
219000;5230;Palanga, Palanga, Vytauto g.;41.87;2
159900;2758;Vilnius, Lazdynėliai, Lazdynėlių g.;57.97;3
139000;2985;Vilnius, Šiaurės miestelis, J. Galvydžio g.;46.57;2
177775;2090;Klaipėda, Labrenciškės, Kretingos g.;85.06;4
185000;3083;Klaipėda, Paupiai, Klemiškės g.;60;3
95000;2159;Klaipėda, Senamiestis, J. Janonio g.;44;2
116000;3345;Vilnius, Karoliniškės, Vytauto Vaitkaus g.;34.68;2
56000;1856;Vilnius, Naujoji Vilnia, Dūmų g.;30.18;2
195000;4333;Vilnius, Užupis, Krivių g.;45;2
232000;4901;Vilnius, Markučiai, Manufaktūrų g.;47.34;2
46000;659;Visagino m., Sedulinos al.;69.8;4
180000;3496;Kaunas, Centras, Kęstučio g.;51.49;2
